District,Crop,Season,Year,Rainfall_mm,Temperature_Max_C,Temperature_Min_C,Humidity_Percent,Soil_pH,Organic_Carbon_Percent,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Irrigation_Percent,Fertilizer_N_kg_ha,Fertilizer_P_kg_ha,Fertilizer_K_kg_ha,Seed_Quality,Farm_Size_ha,Mechanization,Yield_kg_ha
Jagatsinghpur,Maize,Kharif,2023,1068.8,31.2,25.7,67.7,5.93,0.521,235.8,34.4,163.7,19.9,176.4,57.8,41.3,High,0.7,Medium,5375.0
Balasore,Paddy,Rabi,2022,225.4,34.5,23.2,65.8,6.94,0.649,223.1,33.3,131.5,53.6,149.6,63.1,47.9,Low,3.62,Medium,2624.0
Cuttack,Maize,Rabi,2020,327.4,25.0,15.9,57.3,5.74,0.417,170.3,18.0,130.9,27.0,117.0,57.1,54.9,Medium,2.02,High,2855.0
Dhenkanal,Maize,Rabi,2021,153.8,25.0,18.7,65.7,5.47,0.591,172.2,27.3,173.6,77.4,123.8,59.2,43.5,Low,0.73,High,4239.0
Balasore,Maize,Rabi,2018,201.6,31.0,18.7,90.1,6.0,0.458,277.1,10.9,94.8,48.3,110.2,31.6,46.6,Medium,1.17,Medium,1637.0
Keonjhar,Paddy,Kharif,2021,1407.1,30.5,21.3,76.9,6.42,0.379,131.6,33.1,92.6,21.0,127.0,68.3,43.0,Medium,1.72,Medium,1967.0
Jajpur,Paddy,Summer,2018,55.8,39.2,30.0,70.0,7.89,0.656,238.6,29.7,136.7,73.2,123.7,43.4,52.6,High,2.17,Medium,2609.0
Mayurbhanj,Paddy,Summer,2020,110.1,38.4,22.7,41.0,7.13,0.329,206.4,44.1,114.2,3.5,143.0,78.7,43.8,Low,0.96,Medium,1479.0
Angul,Paddy,Kharif,2020,996.4,29.8,22.4,87.1,6.94,0.446,149.8,19.4,85.4,49.3,146.5,59.2,44.5,High,0.46,Low,2552.0
Jagatsinghpur,Maize,Kharif,2020,1273.2,32.6,23.1,73.6,7.48,0.494,128.8,34.4,148.5,28.4,104.9,45.4,51.0,Low,2.51,Medium,2077.0
Sambalpur,Paddy,Kharif,2020,1181.6,33.4,21.9,76.6,6.45,0.818,214.9,8.3,126.9,39.0,130.9,50.1,34.2,Medium,4.94,Low,1154.0
Dhenkanal,Maize,Rabi,2018,227.0,28.9,15.7,57.9,7.0,0.691,201.2,30.7,99.7,11.0,110.6,101.8,42.1,High,0.9,Low,2050.0
Koraput,Maize,Kharif,2018,1212.7,33.3,24.9,95.0,6.55,0.489,153.4,22.8,137.2,77.0,147.1,51.0,58.4,High,0.17,High,4666.0
Balasore,Paddy,Kharif,2022,1131.6,38.6,27.1,68.6,6.1,0.254,157.9,23.0,121.7,8.5,96.3,32.1,43.6,Medium,0.34,Medium,2252.0
Dhenkanal,Paddy,Kharif,2019,1168.6,34.2,29.3,85.4,7.27,0.647,134.9,23.7,206.2,24.5,104.7,54.0,24.8,Medium,0.36,Medium,2958.0
Jagatsinghpur,Paddy,Kharif,2020,1066.1,34.7,24.8,70.3,8.19,0.458,123.0,17.3,162.0,44.8,129.6,76.7,28.8,High,0.36,Medium,2167.0
Mayurbhanj,Paddy,Rabi,2020,247.6,30.4,15.0,66.0,6.06,0.543,224.3,27.4,114.8,18.9,93.6,63.9,31.6,Low,2.19,Medium,1644.0
Ganjam,Paddy,Kharif,2018,1343.1,34.1,25.4,88.3,6.14,0.436,141.4,16.5,98.7,12.0,181.4,80.4,63.7,Low,0.22,Medium,2361.0
Balasore,Maize,Rabi,2019,232.4,26.3,21.2,73.8,7.2,0.367,150.5,27.1,108.1,61.3,194.3,74.2,33.8,Low,3.27,Low,2330.0
Dhenkanal,Paddy,Rabi,2021,222.8,31.5,18.7,58.1,6.3,0.454,139.6,16.9,122.0,33.3,133.1,79.5,52.7,High,1.46,Medium,2275.0
Ganjam,Paddy,Kharif,2018,1397.0,30.3,22.1,77.5,6.26,0.522,181.4,16.2,172.7,77.7,95.1,57.0,37.4,Medium,1.06,High,2940.0
Mayurbhanj,Maize,Rabi,2022,143.9,31.8,15.3,58.2,5.13,0.433,135.4,29.3,166.0,67.0,109.6,56.2,50.0,Medium,0.03,Medium,2345.0
Keonjhar,Paddy,Kharif,2021,1397.0,30.4,24.2,74.1,5.73,0.574,171.3,34.4,190.6,49.0,181.8,59.2,37.3,Medium,6.16,Low,3311.0
Khordha,Paddy,Rabi,2019,233.7,26.6,15.9,56.7,5.8,0.562,224.6,34.7,139.8,14.1,104.9,51.4,53.7,High,0.79,Medium,3327.0
Jagatsinghpur,Paddy,Summer,2018,85.1,34.2,25.7,46.4,7.66,0.293,140.2,21.3,166.5,43.4,98.6,66.2,45.3,High,0.28,Medium,2374.0
Dhenkanal,Paddy,Kharif,2021,1176.8,27.6,21.9,79.7,6.31,0.761,140.2,26.3,202.6,77.9,135.7,96.6,49.7,High,3.89,Low,4394.0
Khordha,Paddy,Kharif,2018,1498.2,33.7,23.0,84.3,4.79,0.705,174.6,10.6,150.3,43.4,84.8,59.1,44.8,Medium,0.6,Medium,1589.0
Puri,Maize,Rabi,2020,133.7,29.7,18.2,65.8,6.59,0.467,171.3,24.5,177.5,37.7,123.6,47.0,27.4,Medium,0.3,Medium,3428.0
Mayurbhanj,Paddy,Rabi,2021,267.7,25.0,19.8,70.0,5.62,0.438,162.3,29.1,116.8,15.0,142.1,34.3,14.9,Medium,9.57,Medium,2023.0
Baragarh,Maize,Kharif,2021,1298.2,29.6,23.4,78.1,6.48,0.605,189.1,37.6,171.2,25.0,119.6,52.1,34.4,High,0.59,High,6089.0
Dhenkanal,Maize,Rabi,2020,119.4,25.1,15.4,62.9,6.49,0.589,193.8,31.0,142.5,65.6,145.5,40.0,53.4,Low,2.99,High,2541.0
Koraput,Paddy,Kharif,2022,1276.4,32.9,23.2,75.2,6.08,0.652,249.1,18.7,183.8,51.9,101.2,53.2,36.4,High,0.12,Medium,3484.0
Sambalpur,Paddy,Rabi,2019,158.4,25.7,15.9,55.6,5.86,0.385,177.4,19.3,138.2,41.4,156.9,78.1,48.6,Medium,0.66,Low,2118.0
Cuttack,Paddy,Kharif,2021,1569.4,31.9,22.5,73.8,6.31,0.464,209.9,30.6,195.1,75.5,112.7,59.1,32.3,Medium,1.46,Medium,5256.0
Angul,Maize,Kharif,2018,1399.7,29.8,23.3,82.4,6.74,0.58,125.9,19.6,136.0,72.9,131.9,81.8,59.1,Medium,0.77,Low,3717.0
Sambalpur,Paddy,Rabi,2018,142.9,28.8,15.0,53.9,5.5,0.468,195.6,11.8,127.6,29.1,137.9,45.5,29.2,High,1.38,Medium,1378.0
Dhenkanal,Paddy,Kharif,2022,1379.5,29.7,22.7,83.2,6.95,0.473,119.5,10.5,189.5,36.2,138.1,53.4,30.6,Medium,0.92,Low,1571.0
Cuttack,Maize,Kharif,2018,1381.3,35.1,24.2,77.3,5.66,0.462,194.0,25.1,192.5,30.1,112.7,73.9,45.1,Low,2.66,Medium,4045.0
Cuttack,Paddy,Summer,2018,116.4,34.8,20.5,49.6,5.72,0.531,242.5,32.6,151.2,42.1,84.9,98.5,38.0,Low,1.32,Low,2603.0
Angul,Paddy,Kharif,2020,1358.2,28.0,24.2,72.8,6.16,0.545,202.0,12.4,71.1,20.8,126.4,80.3,28.9,Medium,1.79,High,1788.0
Koraput,Paddy,Kharif,2022,1070.7,25.8,21.2,82.6,5.7,0.608,225.9,31.4,194.2,56.4,142.7,64.8,51.6,Medium,0.71,High,5708.0
Mayurbhanj,Paddy,Rabi,2019,167.9,29.8,16.5,61.8,7.09,0.853,237.3,27.1,175.7,50.2,118.1,55.7,59.2,Medium,0.68,Low,3355.0
Jajpur,Paddy,Kharif,2018,1339.2,32.3,25.3,79.8,7.15,0.658,253.9,37.7,167.5,56.0,103.6,83.0,36.2,Medium,1.56,Medium,4725.0
Angul,Paddy,Kharif,2022,1081.2,30.9,24.1,67.8,6.4,0.356,185.4,34.5,180.0,17.2,116.6,75.2,45.7,Low,5.16,High,4001.0
Baragarh,Paddy,Kharif,2023,1302.0,33.0,23.4,77.4,7.43,0.679,147.5,32.5,147.8,20.6,158.8,41.8,42.1,Medium,0.95,Medium,3335.0
Cuttack,Paddy,Rabi,2018,141.0,25.7,20.3,60.8,5.85,0.837,208.4,29.6,161.2,34.5,99.3,49.8,34.7,Medium,0.69,Medium,3111.0
Baragarh,Paddy,Kharif,2018,1332.6,31.9,24.5,82.4,6.02,0.497,143.6,16.9,84.2,39.1,134.0,73.3,42.3,High,0.9,Medium,2270.0
Balasore,Maize,Kharif,2019,1360.8,37.2,23.7,67.4,7.32,0.645,188.3,31.0,141.3,75.8,119.6,54.1,20.9,Medium,1.76,Medium,3774.0
Baragarh,Paddy,Summer,2019,76.0,33.4,26.2,51.4,6.96,0.624,194.7,37.2,136.4,59.4,133.4,83.9,52.5,High,4.94,Low,3138.0
Mayurbhanj,Paddy,Kharif,2021,1037.1,31.3,27.7,79.7,6.62,0.569,138.6,8.4,166.3,19.3,110.4,64.9,35.4,High,5.39,Medium,1287.0
Khordha,Paddy,Rabi,2020,220.4,27.2,15.6,53.5,6.4,0.58,188.5,31.2,146.0,63.7,98.2,78.8,54.2,Medium,0.2,Low,3464.0
Jajpur,Paddy,Rabi,2019,212.2,26.6,15.9,69.8,4.62,0.558,228.8,29.1,168.3,23.2,82.6,70.3,44.5,High,0.28,High,3546.0
Jajpur,Paddy,Rabi,2020,227.9,25.7,18.3,56.8,6.63,0.894,262.1,21.6,117.1,44.6,134.3,57.7,45.4,Medium,5.45,Low,2203.0
Angul,Paddy,Kharif,2019,1024.0,29.2,22.4,87.3,6.79,0.2,190.2,29.0,124.9,18.7,93.9,49.8,37.6,Medium,1.42,Low,2404.0
Jajpur,Paddy,Kharif,2021,1187.5,33.6,23.2,67.3,4.5,0.516,272.5,15.5,123.6,70.7,74.4,41.3,40.3,High,6.01,Low,2424.0
Ganjam,Paddy,Rabi,2020,157.9,27.9,15.3,63.0,5.79,0.727,169.2,24.4,191.7,30.7,157.0,74.9,46.9,Medium,2.13,Low,2819.0
Koraput,Paddy,Rabi,2020,211.5,29.6,16.9,57.9,5.51,0.722,169.6,31.1,163.5,48.1,124.7,76.6,53.2,Low,3.35,Low,2450.0
Dhenkanal,Paddy,Kharif,2018,1631.3,31.5,27.3,81.5,6.06,0.641,170.7,24.7,111.6,30.6,147.2,92.0,45.0,Medium,3.47,Low,2659.0
Keonjhar,Maize,Rabi,2023,204.6,27.2,15.0,61.9,5.76,0.469,137.9,15.4,127.4,35.8,89.7,46.9,56.6,High,1.07,Medium,2570.0
Jagatsinghpur,Maize,Kharif,2021,1007.1,37.4,24.0,78.5,5.75,0.668,107.9,21.6,77.2,47.9,129.8,69.9,33.3,Medium,3.08,Medium,2052.0
Dhenkanal,Paddy,Kharif,2021,1476.0,37.0,20.7,78.4,5.29,0.524,213.9,28.0,98.6,25.1,70.0,55.2,57.8,Medium,6.83,Medium,1958.0
Mayurbhanj,Maize,Kharif,2021,1140.8,33.7,25.3,83.5,5.42,0.355,207.9,27.9,131.0,20.5,121.4,58.1,37.3,Medium,0.28,Medium,2719.0
Puri,Paddy,Rabi,2019,149.2,28.7,15.0,70.8,6.85,0.451,89.3,20.2,139.1,27.9,168.6,65.9,41.3,Low,0.35,Medium,1173.0
Sambalpur,Paddy,Rabi,2019,96.4,29.0,18.9,59.9,5.35,0.394,151.8,21.0,128.4,46.4,84.4,54.7,29.7,High,0.47,Low,2214.0
Puri,Maize,Rabi,2018,307.4,31.0,15.4,44.4,7.31,0.582,241.6,31.7,149.1,79.7,113.5,68.8,36.9,Medium,5.93,Low,3880.0
Keonjhar,Paddy,Kharif,2022,1245.8,31.3,25.6,87.1,4.76,0.648,138.3,21.2,151.1,40.1,129.3,51.5,45.5,High,3.76,Low,2891.0
Khordha,Paddy,Kharif,2022,1126.0,28.9,25.9,81.7,5.27,0.29,213.1,29.9,104.2,65.3,128.8,71.7,37.0,High,3.29,Medium,3441.0
Angul,Paddy,Kharif,2019,1418.2,30.8,22.1,85.4,7.0,0.577,139.9,26.0,128.6,77.4,146.9,62.9,36.7,Medium,0.62,High,5607.0
Ganjam,Paddy,Rabi,2020,167.1,28.4,19.8,75.3,5.22,0.524,163.8,44.5,144.9,52.9,62.8,53.5,37.9,Medium,1.71,Medium,2194.0
Jagatsinghpur,Paddy,Rabi,2020,192.3,29.9,17.6,53.9,6.88,0.738,196.2,27.6,158.5,36.8,122.5,58.4,43.7,High,2.52,Low,3610.0
Keonjhar,Paddy,Rabi,2021,128.0,31.4,16.9,66.1,6.15,0.639,211.3,21.6,186.8,76.3,130.4,54.5,30.6,Medium,4.09,Medium,2831.0
Baragarh,Maize,Kharif,2022,1361.9,30.7,26.2,78.7,6.41,0.388,108.3,31.9,115.0,34.4,95.0,52.1,22.7,High,0.54,Low,3089.0
Keonjhar,Paddy,Kharif,2019,1435.7,35.1,23.9,76.9,6.25,0.45,186.9,25.4,180.8,53.3,126.0,72.7,54.0,Medium,0.98,Low,3593.0
Jajpur,Paddy,Kharif,2020,1100.9,33.1,23.3,63.9,5.86,0.597,145.4,28.5,181.8,57.7,125.8,53.7,49.9,High,0.16,Low,3648.0
Balasore,Maize,Rabi,2019,177.5,25.0,21.1,75.3,5.69,0.571,206.6,30.0,160.1,46.8,116.6,55.0,28.5,Medium,2.21,High,4351.0
Ganjam,Paddy,Kharif,2018,1257.5,34.1,21.4,91.7,4.5,0.391,270.1,25.8,126.9,19.9,129.7,33.2,41.4,Medium,10.22,Medium,2442.0
Puri,Maize,Rabi,2020,163.9,27.1,15.6,70.1,5.19,0.713,126.2,22.8,162.0,43.2,54.6,57.4,21.8,Medium,13.38,Medium,1865.0
Angul,Paddy,Kharif,2022,1341.8,29.9,27.2,80.1,5.82,0.465,141.4,48.9,151.2,65.8,134.0,42.8,46.6,Medium,3.13,Low,3217.0
Jagatsinghpur,Paddy,Rabi,2021,223.7,27.1,16.0,64.4,5.96,0.616,203.1,23.6,176.6,41.3,111.2,51.9,45.9,Low,0.56,Low,2159.0
Jagatsinghpur,Paddy,Rabi,2018,195.4,28.7,15.5,54.4,6.62,0.703,144.4,24.2,120.2,22.5,112.4,45.4,27.8,Medium,1.05,Low,1958.0
Keonjhar,Maize,Kharif,2020,1430.6,31.8,25.1,68.0,6.12,0.532,124.0,21.8,219.6,47.8,150.3,69.8,35.8,Medium,2.54,High,3199.0
Puri,Maize,Kharif,2019,1517.2,31.9,23.8,74.2,5.92,0.384,221.2,14.8,145.7,59.6,84.5,59.7,26.1,Medium,0.64,Low,2541.0
Koraput,Paddy,Kharif,2023,1221.2,30.9,23.8,74.3,5.95,0.364,156.2,14.1,190.0,13.9,121.5,52.7,35.7,Medium,0.27,High,2333.0
Khordha,Paddy,Rabi,2023,200.7,25.0,17.5,64.1,5.97,0.617,174.6,19.1,133.3,39.5,105.9,83.2,44.9,Low,0.28,Low,2094.0
Dhenkanal,Paddy,Rabi,2019,179.8,27.9,17.7,63.0,5.52,0.575,159.8,26.3,128.6,33.8,173.2,71.5,24.4,Medium,0.83,Medium,2449.0
Mayurbhanj,Paddy,Kharif,2018,1394.2,32.9,24.0,84.2,6.07,0.769,167.4,29.5,125.3,14.7,142.2,92.2,36.5,High,0.22,High,4188.0
Ganjam,Maize,Kharif,2018,1171.2,29.5,18.9,69.2,5.81,0.592,187.3,31.0,92.5,27.4,79.5,76.4,40.9,Medium,1.11,Medium,2696.0
Angul,Paddy,Summer,2023,91.9,35.6,26.1,48.2,5.91,0.522,171.1,26.2,181.4,28.8,157.6,47.0,40.8,Medium,2.02,Medium,3193.0
Angul,Paddy,Kharif,2019,1320.5,31.3,23.3,77.6,7.07,0.619,138.3,29.0,148.4,47.1,144.2,51.4,49.1,Medium,1.83,Low,2798.0
Keonjhar,Paddy,Rabi,2019,206.7,28.5,17.1,48.2,6.36,0.775,206.8,25.7,128.8,61.5,119.2,65.8,38.2,Medium,4.19,Medium,3124.0
Jajpur,Maize,Kharif,2019,1160.0,26.0,24.5,83.3,8.05,0.615,134.6,27.5,105.7,41.8,212.4,54.9,41.6,Low,0.82,Low,2537.0
Baragarh,Paddy,Kharif,2023,1249.0,36.6,20.4,80.9,7.0,0.811,229.7,21.4,188.2,32.8,141.6,47.7,71.6,Medium,8.34,High,3139.0
Angul,Paddy,Kharif,2019,1363.1,30.4,26.2,85.4,6.32,0.509,56.6,19.8,188.5,40.9,71.1,65.5,33.2,Medium,2.07,Medium,1487.0
Puri,Paddy,Kharif,2018,1291.3,35.9,22.2,82.0,6.24,0.615,226.0,23.8,125.6,66.3,79.0,41.6,61.5,High,3.22,High,3292.0
Ganjam,Paddy,Kharif,2022,1265.2,29.9,24.8,87.6,5.34,0.41,270.1,26.1,139.4,31.8,121.4,77.2,28.8,Medium,2.26,Medium,3317.0
Balasore,Paddy,Kharif,2021,816.8,31.2,26.2,66.5,7.25,0.929,150.9,30.9,183.7,59.4,76.6,87.3,36.9,Low,0.41,High,3010.0
Dhenkanal,Paddy,Kharif,2022,1030.3,29.9,21.7,91.7,5.83,0.267,123.8,41.6,159.9,74.4,112.7,64.4,40.2,Medium,0.24,Medium,3258.0
Dhenkanal,Maize,Rabi,2021,231.6,25.3,15.0,71.3,6.65,0.397,211.9,36.1,125.2,4.0,140.5,65.0,38.9,High,4.38,Medium,2959.0
Jajpur,Maize,Kharif,2021,967.1,33.6,21.0,75.4,7.75,0.56,185.2,24.5,184.4,42.6,132.1,60.9,51.8,Medium,1.56,High,3863.0
Dhenkanal,Maize,Rabi,2022,296.3,28.0,17.9,70.3,5.43,0.708,151.0,26.2,63.9,35.0,91.3,38.5,40.7,Low,0.78,Low,1500.0
Khordha,Maize,Summer,2020,106.2,36.1,25.6,53.8,5.83,0.449,131.3,18.7,143.6,6.1,162.4,49.6,49.1,Medium,0.72,Medium,1815.0
Sambalpur,Paddy,Kharif,2023,1347.4,25.0,22.3,82.6,7.13,0.564,162.6,29.1,156.0,42.2,85.8,82.8,48.4,Medium,0.69,Medium,3727.0
Balasore,Paddy,Kharif,2021,1167.7,26.4,25.7,76.8,7.63,0.326,135.3,24.0,122.1,35.1,109.8,36.9,32.8,Low,2.11,Medium,1854.0
Jajpur,Paddy,Kharif,2018,1324.7,30.2,27.2,58.6,4.95,0.684,189.4,31.9,150.6,62.0,141.0,69.6,32.3,Medium,5.82,Medium,4546.0
Kendrapara,Maize,Kharif,2019,1168.1,34.6,22.2,79.5,4.5,0.511,126.7,26.1,205.1,71.1,75.3,47.9,33.5,Medium,1.38,Low,2608.0
Khordha,Paddy,Kharif,2018,1302.1,29.7,23.9,74.1,5.56,0.755,228.5,30.4,139.7,73.3,188.6,57.5,41.9,Medium,0.2,Medium,4400.0
Kendrapara,Maize,Kharif,2018,955.6,32.0,20.2,80.2,7.47,0.639,225.3,26.9,170.7,28.4,86.4,59.4,31.5,High,1.01,Low,3212.0
Koraput,Maize,Kharif,2023,1226.3,31.5,25.7,76.3,6.84,0.57,174.9,22.7,150.5,63.4,65.8,62.3,44.1,Medium,0.32,High,4241.0
Sambalpur,Paddy,Kharif,2022,935.0,28.9,23.6,91.0,6.25,0.682,131.4,25.3,149.2,3.3,90.5,76.9,45.0,Medium,6.62,Medium,3022.0
Koraput,Paddy,Kharif,2020,1131.6,34.3,23.9,81.3,6.32,0.614,161.2,18.3,146.3,38.6,109.5,59.6,35.1,High,9.98,Medium,3086.0
Mayurbhanj,Paddy,Kharif,2021,1329.1,32.8,20.6,74.6,5.87,0.518,133.8,25.9,140.3,17.9,165.6,58.1,51.4,High,3.09,Low,3398.0
Ganjam,Paddy,Kharif,2020,1325.5,30.0,25.7,76.4,6.09,0.641,244.3,28.7,215.4,35.8,101.4,39.0,39.9,Medium,4.01,Medium,5059.0
Kendrapara,Paddy,Rabi,2023,271.0,29.9,19.0,63.6,5.61,0.65,171.8,22.1,223.3,81.3,143.4,75.6,52.8,Medium,0.59,Medium,3807.0
Sambalpur,Maize,Rabi,2021,246.8,25.7,19.4,63.4,5.73,0.421,170.1,31.4,67.0,10.2,107.7,53.8,24.7,Medium,0.69,High,1500.0
Kendrapara,Paddy,Kharif,2022,1446.6,34.4,26.9,74.8,5.98,0.359,126.0,26.5,230.3,21.3,88.7,49.0,41.2,Medium,1.68,High,2280.0
Jajpur,Paddy,Kharif,2021,1103.8,28.3,26.8,79.5,6.04,0.342,178.4,22.7,158.3,35.2,96.9,45.8,25.7,Low,0.71,Medium,2428.0
Kendrapara,Maize,Rabi,2021,291.3,25.9,20.1,77.1,4.5,0.363,147.6,30.8,177.6,35.8,157.6,61.6,52.1,Medium,1.03,Low,2377.0
Khordha,Paddy,Kharif,2023,1327.4,33.8,19.9,75.2,6.42,0.716,176.6,26.2,147.6,43.8,102.9,67.4,32.1,Low,0.7,Medium,2655.0
Keonjhar,Paddy,Kharif,2021,1466.3,30.7,23.6,88.0,6.43,0.37,163.0,17.9,182.5,16.6,136.3,52.5,48.5,High,0.3,Medium,2870.0
Jagatsinghpur,Maize,Summer,2019,50.0,38.1,26.2,61.9,6.94,0.505,246.9,26.9,160.1,46.4,130.6,47.1,57.1,Low,7.17,Low,1725.0
Cuttack,Paddy,Kharif,2022,1527.5,34.2,25.0,81.8,7.14,0.375,135.7,34.0,130.2,82.6,74.9,82.0,41.5,Medium,1.02,High,4666.0
Khordha,Maize,Rabi,2018,207.4,25.0,22.2,78.9,6.38,0.352,168.5,26.9,126.1,55.5,130.3,48.1,38.9,Low,0.6,Medium,2711.0
Ganjam,Maize,Rabi,2023,81.5,28.4,21.9,66.4,6.34,0.556,76.9,25.6,148.3,49.4,141.2,65.8,54.0,Medium,4.18,High,1955.0
Keonjhar,Paddy,Rabi,2023,198.6,30.3,17.9,67.5,7.41,0.634,152.8,21.8,154.9,69.1,102.1,80.5,46.1,High,1.64,Medium,3668.0
Angul,Maize,Kharif,2022,1489.1,36.3,24.8,75.1,6.4,0.568,161.3,25.5,121.2,15.8,96.8,51.5,35.2,Low,7.48,Low,2105.0
Sambalpur,Paddy,Rabi,2022,183.3,26.1,15.0,59.6,5.32,0.558,246.7,21.8,99.2,58.3,63.1,71.4,24.3,High,3.67,Medium,1832.0
Dhenkanal,Maize,Summer,2022,88.9,34.5,19.6,78.4,6.18,0.63,146.6,29.2,177.1,55.7,131.2,60.7,28.2,High,0.43,Low,2432.0
Keonjhar,Paddy,Kharif,2021,1526.3,31.2,21.1,88.7,4.89,0.66,177.5,35.0,115.8,56.9,198.4,57.3,36.4,Low,4.11,Low,2337.0
Jagatsinghpur,Paddy,Summer,2020,138.5,45.0,26.9,64.7,5.41,0.511,128.0,15.5,152.9,41.6,86.7,50.7,39.2,Low,0.14,Medium,1028.0
Ganjam,Paddy,Kharif,2022,818.3,32.1,24.2,92.9,5.46,0.546,222.5,26.7,174.8,65.7,168.0,47.0,52.6,Medium,5.52,Low,3387.0
Jagatsinghpur,Maize,Rabi,2018,217.6,25.0,16.4,64.0,6.2,0.459,255.1,17.9,117.5,52.1,179.1,82.2,37.3,Medium,2.19,Medium,2739.0
Dhenkanal,Maize,Rabi,2023,177.9,25.7,20.0,56.6,6.59,0.455,148.8,28.7,105.6,41.4,135.6,92.1,56.1,Medium,0.92,High,2763.0
Angul,Paddy,Rabi,2021,137.8,25.0,19.6,77.8,5.57,0.621,186.6,31.0,203.4,59.6,90.5,54.4,38.7,Low,0.27,Low,2131.0
Jajpur,Paddy,Rabi,2019,245.0,28.3,18.5,66.5,5.35,0.605,167.1,21.3,199.8,75.7,90.7,47.0,50.0,Medium,1.54,Medium,2675.0
Koraput,Paddy,Kharif,2021,1436.4,34.0,26.6,67.2,5.61,0.797,223.2,18.4,107.5,38.8,118.2,95.0,46.5,Low,0.17,Medium,2153.0
Angul,Maize,Kharif,2019,1064.7,34.7,27.0,79.7,5.42,0.567,141.8,26.8,176.4,13.1,166.7,41.6,55.7,Medium,2.75,Medium,2743.0
Balasore,Paddy,Summer,2020,50.0,36.6,23.0,47.6,6.25,0.614,154.7,25.3,133.0,78.4,92.2,69.5,55.1,Medium,1.4,Medium,2770.0
Koraput,Maize,Kharif,2019,1150.3,27.8,25.8,81.3,7.18,0.67,91.6,17.0,173.8,25.1,115.1,52.5,20.0,Low,0.46,Medium,2028.0
Balasore,Paddy,Kharif,2019,1418.9,32.2,25.4,66.3,5.85,0.773,218.9,27.7,136.7,18.4,74.6,78.6,52.2,Medium,7.33,High,3479.0
Mayurbhanj,Paddy,Kharif,2021,1452.8,29.8,25.6,73.8,6.1,0.75,222.8,16.8,191.3,32.3,110.2,64.4,37.8,Medium,1.59,Medium,2828.0
Angul,Paddy,Kharif,2022,1200.6,28.2,25.0,88.8,4.82,0.244,168.0,34.0,155.5,37.2,77.5,64.4,65.4,Medium,0.18,High,3110.0
Mayurbhanj,Paddy,Kharif,2018,1161.4,26.9,22.1,88.0,6.68,0.616,207.9,25.8,166.8,35.7,117.1,53.9,44.7,Medium,0.87,Low,3574.0
Angul,Paddy,Kharif,2021,1142.7,32.3,23.8,88.6,5.24,0.432,145.9,25.1,97.7,63.5,82.1,72.8,45.8,High,0.05,Medium,3016.0
Koraput,Maize,Kharif,2019,1338.9,30.7,25.8,62.1,6.68,0.408,235.8,39.3,140.4,75.7,74.0,60.4,28.4,Medium,6.86,High,6528.0
Cuttack,Paddy,Kharif,2021,1089.3,33.3,25.1,86.0,6.42,0.752,181.8,26.9,164.5,15.5,127.6,57.3,31.7,Low,2.12,Low,2519.0
Angul,Paddy,Kharif,2019,1400.9,32.1,25.2,73.1,6.82,0.525,160.3,40.1,185.4,58.7,130.7,53.2,38.5,High,16.1,Low,4988.0
Baragarh,Paddy,Kharif,2021,1148.4,31.2,24.0,89.7,6.1,0.532,224.2,26.0,122.5,61.4,86.2,63.9,49.3,High,1.95,Low,2855.0
Mayurbhanj,Paddy,Kharif,2023,1444.6,34.9,26.9,81.7,7.9,0.429,193.4,7.3,161.1,8.1,105.7,70.2,28.7,Low,1.73,Medium,1274.0
Angul,Paddy,Rabi,2022,109.6,26.1,17.4,69.0,6.1,0.88,103.8,29.1,60.1,31.2,141.5,66.3,43.5,Medium,1.65,High,1215.0
Balasore,Paddy,Kharif,2023,1170.6,29.0,26.8,75.1,6.76,0.7,176.7,32.5,140.2,16.2,76.7,63.9,42.0,High,0.56,Medium,4838.0
Sambalpur,Paddy,Summer,2019,111.4,36.1,28.2,57.4,5.42,0.417,154.0,35.4,175.6,5.7,117.6,50.5,30.0,Medium,1.06,Low,1840.0
Puri,Paddy,Summer,2019,118.7,37.2,29.9,60.5,5.55,0.554,147.7,24.4,156.2,66.8,124.8,30.5,45.2,High,1.6,Medium,2777.0
Mayurbhanj,Paddy,Kharif,2022,779.8,30.5,22.7,56.2,6.16,0.648,169.0,39.0,171.5,76.0,100.4,92.0,50.4,Low,3.5,Medium,4015.0
Dhenkanal,Paddy,Rabi,2018,170.3,31.0,17.4,58.3,5.78,0.656,181.0,25.0,166.0,42.0,144.3,55.2,26.4,High,1.71,Medium,3776.0
Angul,Paddy,Kharif,2018,1050.7,31.5,25.9,83.4,6.95,0.319,213.5,36.5,209.1,21.7,84.1,75.8,50.2,Medium,10.47,Low,4203.0
Sambalpur,Paddy,Kharif,2019,1170.7,33.9,26.2,84.2,7.2,0.955,207.9,16.2,113.9,15.0,140.4,81.4,53.4,Low,0.58,Medium,1703.0
Cuttack,Paddy,Rabi,2022,246.0,25.0,16.8,51.9,5.56,0.773,114.8,24.4,121.5,41.5,77.8,60.9,19.4,Medium,9.34,Medium,1427.0
Dhenkanal,Paddy,Kharif,2021,1384.4,32.1,22.4,71.0,4.86,0.443,128.7,30.5,162.4,15.4,109.1,91.8,29.6,Medium,5.03,Low,1945.0
